ad,dogum_yeri,dogum_tarihi,yas,ilkokul,ilkokul_yillari,lise,lise_yillari,universite,universite_yillari,bolum,yuksek_lisans,yuksek_lisans_yillari,doktora,doktora_yillari,calistigi_kurumlar,calisma_yillari,kurdugu_girisim_ve_dernekler,girisim_kurulus_yillari,yasadigi_sehir,hobiler,es,cocuklar,akademik_yayinlar,yayin_yillari,dosya_adi,ilkokul_yillari_baslangic,ilkokul_yillari_bitis,lise_yillari_baslangic,lise_yillari_bitis,universite_yillari_baslangic,universite_yillari_bitis,yuksek_lisans_yillari_baslangic,yuksek_lisans_yillari_bitis,doktora_yillari_baslangic,doktora_yillari_bitis,calisma_yillari_baslangic,calisma_yillari_bitis
Semra Eren,Antalya,15.08.1983,42,Antalya Cumhuriyet İlkokulu,1989-1997,İzmir Bornova Anadolu Lisesi,1997-2001,Boğaziçi Üniversitesi,2001-2005,Sanat Tarihi ve Arkeoloji Bölümü,Koç Üniversitesi,2005-2007,İstanbul Üniversitesi,2008-2012,"['İstanbul Üniversitesi Edebiyat Fakültesi', 'Pera Müzesi', 'T.C. Kültür ve Turizm Bakanlığı Kültürel Miras Genel Müdürlüğü', 'Adana Arkeoloji Müzesi', 'Bağımsız Kültür Danışmanı ve Proje Yöneticisi']","['2008-2012', '2012-2015', '2015-2019', '2019-2023', '2023-devam ediyor']",[],[],İstanbul,"['doğa yürüyüşleri', 'tarihi yapıların fotoğraflarını çekmek', 'yöresel yemek tarifleri denemek']",Efe Demir,"['Ada Demir', 'Can Demir']","[""Anadolu'daki Roma Dönemi Mozaik Sanatının Korunması Üzerine Bir Araştırma"", 'Kent Müzeleşmesi ve Katılımcı Yönetim Modelleri: İstanbul Örneği', ""Türkiye'de Dijital Müze Deneyimleri: Potansiyel ve Engeller"", 'Geçmişin Koruyucusu, Geleceğin Yorumlayıcısı: Müzeciliğin Sosyal Rolü']","['2007', '2012', '2016', '2019']",semra_eren.md,1989,1997,1997,2001,2001,2005,2005,2007,2008,2012,['2008,"2012', '2012-2015', '2015-2019', '2019-2023', '2023-devam ediyor']"
Semra Türkmen,Kayseri,05.09.1987,38,Kayseri Mustafa Kemal İlkokulu,1993-2000,Kayseri Fen Lisesi,2000-2004,Bilkent Üniversitesi,2004-2008,Hukuk Fakültesi,İstanbul Bilgi Üniversitesi,2009-2011,,None,"['ABC Hukuk Bürosu', 'Erdem & Erdem Hukuk Bürosu', 'Garanti BBVA', 'LexIntel Hukuk Bürosu']","['2008-2009', '2011-2016', '2017-2020', '2020-devam ediyor']",['LexIntel Hukuk Bürosu'],['2020'],İstanbul,"['doğa yürüyüşleri', 'yoga', 'eski Türk filmlerini izlemek', 'dijital sanat sergilerini takip etmek', 'kısa öyküler yazmak']",Can Demir,"['Elif', 'Alp']","['Dijital Kimlik ve Veri Mahremiyeti Hukukunda Yeni Yaklaşımlar', 'Yapay Zeka Destekli Karar Mekanizmalarının Hukuki Sorumluluğu: Güncel Tartışmalar ve Gelecek Perspektifleri']","['2015', '2019']",semra_turkmen.md,1993,2000,2000,2004,2004,2008,2009,2011,None,,['2008,"2009', '2011-2016', '2017-2020', '2020-devam ediyor']"
Serap Arslan,Bursa,05.07.1989,36,Hamitler İlkokulu,1995-2000,Bursa Anadolu Lisesi,2000-2007,Orta Doğu Teknik Üniversitesi,2007-2011,İstatistik,Koç Üniversitesi,2011-2013,,None,"['Arçelik A.Ş.', 'SAP Türkiye', 'Trendyol']","['2013-2016', '2016-2020', '2020-devam ediyor']",[],[],İstanbul,"['doğa yürüyüşleri', 'yoga', 'strateji tabanlı masa oyunları', 'kişisel kodlama projeleri', 'kitap okumak']",Can Aydemir,"['Elif Aydemir', 'Bora Aydemir']","['Büyük Veri Analitiğinde Makine Öğrenmesi Yaklaşımları: Perakende Sektörü Uygulamaları', 'Müşteri Segmentasyonu için Gelişmiş Kümeleme Algoritmaları ve Uygulamaları']","['2013', '2018']",serap_arslan.md,1995,2000,2000,2007,2007,2011,2011,2013,None,,['2013,"2016', '2016-2020', '2020-devam ediyor']"
Serpil Ergin,Adana,18.06.1983,42,Adana Cumhuriyet İlköğretim Okulu,1990-1998,Adana Fen Lisesi,1998-2002,Boğaziçi Üniversitesi,2003-2007,Sanat Tarihi,İstanbul Üniversitesi,2008-2010,,None,"['İstanbul Modern Sanat Müzesi', 'SALT Galata', 'Bağımsız Küratör ve Kültür Danışmanı', 'Kültürel Mirasın Sesleri Derneği']","['2007-2010', '2010-2014', '2014-devam ediyor', '2017-devam ediyor']",['Kültürel Mirasın Sesleri Derneği'],['2017'],İstanbul,"['hat sanatı koleksiyonculuğu', 'geleneksel Türk mutfağı araştırmaları', 'yeni tarifler denemek', 'Anadolu şehirlerinde kısa şehir gezileri yaparak yerel kültürleri deneyimlemek']",Can Demir,"['Ada', 'Ege']","['Osmanlı Dönemi Hat Sanatında Kadın Sanatçılar Üzerine Bir İnceleme', 'Modern Türk Sanatında Geleneksel Motiflerin Yeri: Sürdürülebilir Bir Bakış Açısı']","['2016', '2019']",serpil_ergin.md,1990,1998,1998,2002,2003,2007,2008,2010,None,,['2007,"2010', '2010-2014', '2014-devam ediyor', '2017-devam ediyor']"
Serra Çakır,Adana,15.08.1990,35,Adana 23 Nisan İlkokulu,1996-2004,Adana Anadolu Lisesi,2004-2008,Hacettepe Üniversitesi,2008-2012,Bilgisayar Mühendisliği,Boğaziçi Üniversitesi,2012-2014,,None,"['TurkNet', 'Getir', 'FutureTech Enstitüsü']","['2014-2016', '2016-2020', '2020-devam ediyor']",[],[],İstanbul,"['doğa yürüyüşleri', 'fotoğraf çekmek', 'bağlama çalmak', 'kitap okumak']",Can Yılmaz,"['Ada', 'Deniz']","['Turkish Sentiment Analysis Using Deep Learning Architectures', 'Predictive Modeling for On-Demand Delivery Services: A Machine Learning Approach', 'Algorithmic Bias Detection and Mitigation Strategies in AI-Driven Decision Making']","['2014', '2019', '2022']",serra_cakir.md,1996,2004,2004,2008,2008,2012,2012,2014,None,,['2014,"2016', '2016-2020', '2020-devam ediyor']"
Sevda Toprak,Ankara,15.08.1986,39,Ankara Atatürk İlkokulu,1992-1997,Ankara Anadolu Lisesi,1997-2004,Orta Doğu Teknik Üniversitesi,2004-2008,Şehir ve Bölge Planlama,Yıldız Teknik Üniversitesi,2010-2012,,None,"['Ankara Büyükşehir Belediyesi', 'Kentsel Gelişim A.Ş.', 'Şehir Vizyon Danışmanlık']","['2008-2012', '2012-2017', '2017-devam ediyor']","['Şehir Vizyon Danışmanlık', 'Sürdürülebilir Şehirler Derneği']","['2017', '2019']",İstanbul,"['kentsel fotoğrafçılık', 'nadir ve eski şehir haritaları koleksiyonculuğu', 'doğa yürüyüşleri', 'piyano çalmak']",Mert Yılmaz,"['Defne', 'Can']","['Akıllı Şehirlerde Veri Odaklı Planlama: İstanbul Örneği', 'Kentsel Dönüşümde Sosyal Etki Değerlendirmesi ve Katılımcılık']","['2019', '2021']",sevda_toprak.md,1992,1997,1997,2004,2004,2008,2010,2012,None,,['2008,"2012', '2012-2017', '2017-devam ediyor']"
Sevda Yıldırım,Gaziantep,15.06.1985,40,Gaziantep Nuri Paşa İlkokulu,1991-1996,Gaziantep Vehbi Dinçerler Fen Lisesi,1996-2000,Marmara Üniversitesi,2000-2004,Gazetecilik,Boğaziçi Üniversitesi,2006-2008,,None,"['Doğan Haber Ajansı', 'TRT Belgesel Kanalı', 'Anadolu Ajansı']","['2004-2006', '2008-2012', '2015-2018']","[""Anadolu'nun Yüzleri"", 'Kültür Köprüleri Derneği']","['2012', '2015']",İstanbul,"['Doğa yürüyüşleri yapmak', 'Eski filmleri izlemek', 'Geleneksel Türk el sanatları üzerine araştırmalar yapmak', 'Fotoğrafçılık']",Can Demir,"['Elif Demir', 'Emre Demir']","[""Türkiye'de Belgesel Sinemanın Gelişimi ve Toplumsal Etkileri""]",['2014'],sevda_yildirim.md,1991,1996,1996,2000,2000,2004,2006,2008,None,,['2004,"2006', '2008-2012', '2015-2018']"
Şeyma Eren,Diyarbakır,12.07.1990,35,Diyarbakır Vali Gökhan Aydın İlköğretim Okulu,1996-2004,Diyarbakır Süleyman Demirel Anadolu Lisesi,2004-2008,Hacettepe Üniversitesi,2008-2012,İstatistik,Boğaziçi Üniversitesi,2014-2016,,None,"['Optimizasyon Çözümleri A.Ş.', 'Global AdSense Ajansı', 'Türk Telekom', 'Trendyol', 'Getir']","['2012-2013', '2013-2015', '2015-2018', '2018-2022', '2022-devam ediyor']",[],[],İstanbul,"['dağ yürüyüşleri', 'dijital fotoğrafçılık', 'belgesel izlemek', 'modern sanat galerilerini ziyaret etmek']",Kaan Demir,"['Ayşe', 'Can']",[],[],seyma_eren.md,1996,2004,2004,2008,2008,2012,2014,2016,None,,['2012,"2013', '2013-2015', '2015-2018', '2018-2022', '2022-devam ediyor']"
Şeyma Güneş,Bursa,05.09.1989,36,Kükürtlü İlkokulu,1996-2003,Muradiye Anadolu Lisesi,2003-2007,Orta Doğu Teknik Üniversitesi (ODTÜ),2007-2011,Şehir ve Bölge Planlama Bölümü,İstanbul Teknik Üniversitesi (İTÜ),2011-2013,,None,"['Ankara Büyükşehir Belediyesi', 'Arca Mimarlık & Şehircilik', 'Şehir & Yaşam Araştırmaları Derneği', 'Akıllı Kent Çözümleri A.Ş.']","['2013-2016', '2016-2019', '2019-2021', '2021-devam ediyor']",['Yeşil Kentler İnisiyatifi'],['2021'],İstanbul,"['kentsel fotoğrafçılık', 'şehir içindeki gizli patikaları keşfetmek', 'ailesiyle bisiklet turlarına çıkmak', 'organik sebze bahçesi oluşturmak']",Caner Yılmaz,"['Defne', 'Emre']","['Sürdürülebilir Kent İçi Ulaşım Modelleri ve Ankara Örneği', 'Akıllı Şehirlerde Veri Odaklı Yönetim Yaklaşımları: İstanbul Metropol Alanı Analizi', 'Kentsel Dönüşümde Katılımcı Planlama Süreçlerinin Önemi: Bursa Örneği']","['2015', '2020', '2022']",seyma_gunes.md,1996,2003,2003,2007,2007,2011,2011,2013,None,,['2013,"2016', '2016-2019', '2019-2021', '2021-devam ediyor']"
Sinan Güneş,Samsun,15.08.1982,43,Samsun 23 Nisan İlkokulu,1988-1993,Samsun Anadolu Lisesi,1996-2000,İstanbul Üniversitesi,2000-2004,Gazetecilik,İstanbul Üniversitesi,2004-2006,,None,"['Milliyet Gazetesi', 'Akşam Gazetesi', 'CNN Türk', 'Açık Alan']","['2003-2003', '2005-2010', '2010-2017', '2017-devam ediyor']",['Açık Alan'],['2017'],İstanbul,"['doğa fotoğrafçılığı', 'kamp yapmak', 'eski Türk filmleri izlemek', 'yöresel yemek tarifleri denemek']",Aslı Yılmaz,"['Bahar Güneş', 'Toprak Güneş']","[""Sayıların Arkasındaki Gerçek: Türkiye'de Veri Gazeteciliğinin Yükselişi"", 'İklim Krizini Haberleştirmek: Medyanın Rolü ve Sorumlulukları', 'Yapay Zeka Destekli Gazetecilikte Etik Çıkmazlar']","['2020', '2019', '2023']",sinan_gunes.md,1988,1993,1996,2000,2000,2004,2004,2006,None,,['2003,"2003', '2005-2010', '2010-2017', '2017-devam ediyor']"
Sinan Sezer,Adana,14.07.1986,39,Atatürk İlkokulu,1993-2000,Ankara Fen Lisesi,2000-2004,Orta Doğu Teknik Üniversitesi (ODTÜ),2004-2008,Şehir ve Bölge Planlama Bölümü,Yıldız Teknik Üniversitesi,2009-2011,,None,"['Ankara Büyükşehir Belediyesi, İmar ve Şehircilik Daire Başkanlığı', 'Siemens Türkiye, Akıllı Altyapı Çözümleri Birimi', 'Türk Telekom', 'Turkcell']","['2008-2009', '2011-2015', '2015-2018', '2018-2022']",['ŞehirVizyon Teknoloji A.Ş.'],['2022'],İstanbul,"['şehir fotoğrafçılığı', 'bisiklet sürmek', 'futurizm kitapları okumak']",Ayşe Sezer,"['Deniz Sezer', 'Can Sezer']","[""Akıllı Şehirlerde Veri Odaklı Karar Mekanizmaları: Türkiye'den Uygulama Örnekleri"", 'Kentsel Dönüşümde Teknolojinin Rolü ve Sosyo-Ekonomik Etkileri: İstanbul Örneği']","['2016', '2020']",sinan_sezer.md,1993,2000,2000,2004,2004,2008,2009,2011,None,,['2008,"2009', '2011-2015', '2015-2018', '2018-2022']"
Sinan Yalçın,Bursa,15.06.1988,37,Bursa Ahmet Vefik Paşa İlköğretim Okulu,1994-2002,Bursa Anadolu Lisesi,2002-2006,Uludağ Üniversitesi,2006-2010,İstatistik,Hacettepe Üniversitesi,2010-2012,,None,"['Netcom Yazılım A.Ş.', 'Türk Telekom', 'Insider']","['2012-2015', '2015-2018', '2018-devam ediyor']",[],[],İstanbul,"['doğa yürüyüşleri', 'amatör drone fotoğrafçılığı', 'maket uçak yapımı', 'bilim kurgu romanları okuma']",Elif Acar,"['Defne', 'Can']","['Büyük Veri Analizi ile Şehir İçi Ulaşım Optimizasyonu Üzerine Bir Çalışma', 'Derin Öğrenme Modelleriyle Müşteri Davranışı Tahmini ve Pazarlama Stratejileri']","['2013', '2017']",sinan_yalcin.md,1994,2002,2002,2006,2006,2010,2010,2012,None,,['2012,"2015', '2015-2018', '2018-devam ediyor']"
Şirin Altun,Mersin,12.03.1987,38,Mersin Atatürk İlkokulu,1993-2000,Mersin Eyüp Aygar Anadolu Lisesi,2000-2004,Boğaziçi Üniversitesi,2004-2008,İşletme Bölümü,Koç Üniversitesi,2009-2011,,None,"['Unilever Türkiye', 'Arçelik', 'Turkcell', 'Emlakjet']","['2008-2009', '2012-2015', '2015-2019', '2020-devam ediyor']",[],[],İstanbul,"['yoga', 'doğa yürüyüşleri', 'modern sanat sergilerini ziyaret etmek', 'podcast dinlemek']",Emre Kılıç,"['Ada', 'Can']",[],[],sirin_altun.md,1993,2000,2000,2004,2004,2008,2009,2011,None,,['2008,"2009', '2012-2015', '2015-2019', '2020-devam ediyor']"
Şirin Bozkurt,Adana,27.09.1986,39,Adana Atatürk İlköğretim Okulu,1993-2001,Adana Fen Lisesi,2001-2005,Boğaziçi Üniversitesi,2004-2008,Şehir ve Bölge Planlama,İstanbul Teknik Üniversitesi (İTÜ),2008-2010,Yıldız Teknik Üniversitesi,2010-2014,"['Şehircilik ve Çevre Bakanlığı', 'Birleşmiş Milletler Kalkınma Programı (UNDP) Türkiye Ofisi', 'Yıldız Teknik Üniversitesi, Mimarlık Fakültesi, Şehir ve Bölge Planlama Bölümü']","['2014-2016', '2016-2019', '2019-devam ediyor']",['Kent Vizyonu Derneği'],['2018'],İstanbul,"['klasik müzik dinlemek', 'doğa yürüyüşleri yapmak', 'şehirdeki yeşil alanları keşfetmek', 'amatör fotoğrafçılık', 'yoga']",Can Demir,"['Defne Demir', 'Ege Demir']","['Sürdürülebilir Kentsel Dönüşümde Katılımcılık Modelleri', 'İklim Değişikliği ve Kent Dirençliliği: İstanbul İçin Bir Yol Haritası', 'Akıllı Şehir Uygulamalarının Kent Sakinleri Üzerindeki Sosyal Etkileri: İstanbul Örneği']","['2017', '2021', '2014']",sirin_bozkurt.md,1993,2001,2001,2005,2004,2008,2008,2010,2010,2014,['2014,"2016', '2016-2019', '2019-devam ediyor']"
Şirin Can,Bursa,15.06.1988,37,Ali Osman Sönmez İlkokulu,1994-2000,Bursa Anadolu Lisesi,2000-2004,İstanbul Üniversitesi,2004-2008,Halkla İlişkiler ve Tanıtım,Marmara Üniversitesi,2009-2011,,None,"['Doğan Medya Grubu', 'Müze Gazetesi', 'ArtVizyon Dijital Ajans']","['2008-2012', '2012-2019', '2019-devam ediyor']",['Sanatla İç İçe'],['2016'],İstanbul,"['yoga', 'seramik', 'bağımsız sinema']",Can Yaman,"['Ela Can', 'Demir Can']",['Kültür Sanat Kurumlarının Dijitalleşme Süreçlerinde Halkla İlişkiler Stratejileri'],['2011'],sirin_can.md,1994,2000,2000,2004,2004,2008,2009,2011,None,,['2008,"2012', '2012-2019', '2019-devam ediyor']"
Şirin Erdoğan,Kayseri,25.03.1988,37,Kayseri Merkez İlkokulu,1994-2002,Ankara Fen Lisesi,2002-2006,Orta Doğu Teknik Üniversitesi,2007-2011,İstatistik,Koç Üniversitesi,2012-2014,,None,"['TrendVizyon', 'Türk Telekom', 'Quantex Analytics', 'Veriyle Gelecek']","['2014-2015', '2015-2018', '2018-2021', '2021-devam ediyor']",['Veriyle Gelecek'],['2021'],İstanbul,"['podcast dinlemek', 'minimalist seyahat rotaları keşfetmek', 'şehirde az bilinen sanat galerilerini ziyaret etmek', 'amatör fotoğrafçılık', 'mimari fotoğrafçılığı', 'sokak fotoğrafçılığı', 'urban gardening', 'şehir bahçeciliği']",Can Demir,"['Ada', 'Ege']",[],[],sirin_erdogan.md,1994,2002,2002,2006,2007,2011,2012,2014,None,,['2014,"2015', '2015-2018', '2018-2021', '2021-devam ediyor']"
Süheyla Özsoy,Kayseri,05.08.1986,39,Kayseri Fevzi Çakmak İlkokulu,1993-2000,Kayseri Nuh Mehmet Baldöktü Anadolu Lisesi,2000-2004,Boğaziçi Üniversitesi,2004-2008,Siyaset Bilimi ve Uluslararası İlişkiler,İstanbul Üniversitesi,2009-2011,,None,"['Kanal D Haber Merkezi', 'Denizbank', 'Garanti BBVA', 'Arçelik Global']","['2008-2008', '2011-2015', '2015-2019', '2019-devam ediyor']",[],[],İstanbul,"['yoga', 'modern dans', 'dünya mutfaklarını denemek', 'seyahat etmek', 'blog yazmak']",Arda Yılmaz,"['Defne', 'Can']","['Dijital Çağda Kurumsal İtibar Yönetimi ve Kriz İletişimi: Bir Vaka Analizi', 'Şirketlerin Sosyal Medya Kullanımının Tüketici Algısı Üzerindeki Etkisi']","['2011', '2017']",suheyla_ozsoy.md,1993,2000,2000,2004,2004,2008,2009,2011,None,,['2008,"2008', '2011-2015', '2015-2019', '2019-devam ediyor']"
Süleyman Çakır,Adana,10.03.1983,42,Adana İsmet İnönü İlkokulu,1989-1994,Adana Anadolu Lisesi,1997-2000,İstanbul Teknik Üniversitesi,2000-2004,Şehir ve Bölge Planlama,Boğaziçi Üniversitesi,2008-2010,,None,"['Şehir Planlama Danışmanlık A.Ş.', 'Emlak Konut GYO', 'Koç Holding', 'Kentsel Vizyon A.Ş.', 'Şehir ve Yaşam Danışmanlık']","['2004-2008', '2010-2013', '2013-2017', '2017-2018', '2018-devam ediyor']",['Şehir ve Yaşam Danışmanlık'],['2018'],İstanbul,"['tarihi doku fotoğrafçılığı', 'kentsel dönüşüm seminerlerine katılmak', 'şehir bisiklet turları yapmak', 'amatör olarak maraton koşmak', 'yerel tarih araştırmaları yapmak']",Elif Kaya,"['Cem', 'Ada']",['Akıllı Şehirlerde Sürdürülebilir Kentsel Gelişim Modelleri'],['2015'],suleyman_cakir.md,1989,1994,1997,2000,2000,2004,2008,2010,None,,['2004,"2008', '2010-2013', '2013-2017', '2017-2018', '2018-devam ediyor']"
Süleyman Eren,Kayseri,14.07.1988,37,Erciyes İlköğretim Okulu,1994-2002,Kayseri Fen Lisesi,2002-2006,Orta Doğu Teknik Üniversitesi,2007-2011,Bilgisayar Mühendisliği,Koç Üniversitesi,2012-2014,,None,"['ASELSAN', 'Microsoft Türkiye', 'Getir']","['2011-2014', '2014-2018', '2018-2022']",['Veri Feneri'],['2022'],İstanbul,"['dağcılık', 'amatör fotoğrafçılık', 'bilim kurgu romanları okumak']",Elif Demir,"['Defne', 'Emre']","['Derin Öğrenme Modelleri ile Finansal Piyasa Tahminleri: Borsa İstanbul Üzerine Bir Uygulama', 'Büyük Veri Analitiğinde Gerçek Zamanlı Akış İşleme Yaklaşımları ve Apache Kafka Uygulamaları']","['2015', '2017']",suleyman_eren.md,1994,2002,2002,2006,2007,2011,2012,2014,None,,['2011,"2014', '2014-2018', '2018-2022']"
Süleyman Kaplan,Adana,15.08.1986,39,Adana Çukurova İlkokulu,1993-2000,Adana Fen Lisesi,2000-2004,Orta Doğu Teknik Üniversitesi (ODTÜ),2004-2008,Metalurji ve Malzeme Mühendisliği,Sabancı Üniversitesi,2009-2011,,None,"['Vestel Elektronik A.Ş.', 'Siemens Sanayi ve Ticaret A.Ş.', 'Arçelik A.Ş.', 'Borusan Mannesmann', 'Yeşil Teknoloji Danışmanlık ve Çözümleri A.Ş.']","['2008-2009', '2011-2012', '2012-2016', '2016-2019', '2021-devam ediyor']",['Yeşil Teknoloji Danışmanlık ve Çözümleri A.Ş.'],['2021'],İstanbul,"['amatör fotoğrafçılık', 'uzun doğa yürüyüşleri yapmak', 'robotik ve otomasyon teknolojileriyle ilgili makaleler takip etmek']",Elif Kaplan,"['Zeynep', 'Demir']","['Nanomalzemelerin Enerji Depolama Sistemlerindeki Potansiyeli.', 'Çevre Dostu Alaşımların Otomotiv Sektöründe Kullanım Alanları.']","['2011', '2015']",suleyman_kaplan.md,1993,2000,2000,2004,2004,2008,2009,2011,None,,['2008,"2009', '2011-2012', '2012-2016', '2016-2019', '2021-devam ediyor']"
Süleyman Kara,Kayseri,15.03.1988,37,Vali Vecdi Gönül İlköğretim Okulu,1994-2002,Ankara Fen Lisesi,2002-2006,Orta Doğu Teknik Üniversitesi,2006-2010,Bilgisayar Mühendisliği,Hacettepe Üniversitesi,2010-2012,,None,"['ArGe Yazılım Çözümleri A.Ş.', 'Turkcell', 'Akbank', 'VeriVizyon Teknoloji A.Ş.']","['2012-2015', '2015-2018', '2018-2022', '2022-devam ediyor']",['VeriVizyon Teknoloji A.Ş.'],['2022'],İstanbul,"['amatör astronomi', 'gökyüzü gözlemleri', 'eski Türk tarihi ve mitolojisi araştırmaları', 'stratejik masa oyunları', 'Go oyunu']",Ayşe,"['Defne', 'Alp']","['Büyük Veride Anomali Tespiti İçin Derin Öğrenme Yaklaşımları', 'Finansal Dolandırıcılık Tespitinde Yarı Denetimli Öğrenme Modelleri']","['2013', '2017']",suleyman_kara.md,1994,2002,2002,2006,2006,2010,2010,2012,None,,['2012,"2015', '2015-2018', '2018-2022', '2022-devam ediyor']"
Süleyman Özkan,Kayseri,15.03.1989,36,Erciyes İlköğretim Okulu,1995-2002,Ankara Fen Lisesi,2002-2006,Orta Doğu Teknik Üniversitesi (ODTÜ),2007-2011,Şehir ve Bölge Planlama,Bilkent Üniversitesi,2011-2013,,None,"['Koç Holding, Gayrimenkul Geliştirme Departmanı', 'Ankara Büyükşehir Belediyesi, İmar ve Şehircilik Dairesi', 'Orta Doğu Teknik Üniversitesi, Mimarlık Fakültesi, Şehir ve Bölge Planlama Bölümü']","['2013-2017', '2017-2022', '2022-devam ediyor']",['Ankara Kentsel Miras Koruma Derneği'],['2019'],Ankara,"['Tarihi yapıların restorasyon projelerine gönüllü katılmak', 'Şehir fotoğrafçılığı', 'Eski haritalar toplamak', 'Geleneksel Türk el sanatları atölyelerini ziyaret etmek']",Elif Özkan,"['Deniz', 'Can']","[""Ankara'da Cumhuriyet Dönemi Mimarisinin Kentsel Kimlikteki Yeri"", 'Kentsel Dönüşüm Projelerinde Tarihi Doku Koruma Stratejileri: Ulus Örneği', 'Sürdürülebilir Kentsel Gelişmede Kültürel Mirasın Rolü']","['2014', '2019', '2023']",suleyman_ozkan.md,1995,2002,2002,2006,2007,2011,2011,2013,None,,['2013,"2017', '2017-2022', '2022-devam ediyor']"
Suna Taş,İzmir,12.09.1989,36,İzmir Karşıyaka Necip Fazıl Kısakürek İlköğretim Okulu,1996-2000,İzmir Fen Lisesi,2003-2007,Mimar Sinan Güzel Sanatlar Üniversitesi,2007-2011,Şehir ve Bölge Planlama Bölümü,Boğaziçi Üniversitesi,2011-2013,,None,"['Kent Vizyon Planlama ve Danışmanlık A.Ş.', 'İzmir Büyükşehir Belediyesi', 'Akıllı Kent Çözümleri A.Ş.']","['2013-2016', '2016-2019', '2019-devam ediyor']",['Kentte Yaşam Derneği'],['2017'],İzmir,"['şehir fotoğrafçılığı', 'doğa yürüyüşleri', 'distopik bilim kurgu romanları okumak', 'bitkilerle ilgilenmek', 'küçük bir şehir bahçesi kurmak']",Can Ergün,"['Deniz', 'Ege']","['Kentsel Dönüşüm Süreçlerinde Toplumsal Aidiyetin Yeniden İnşası: Sulukule Örneği', 'Akıllı Kent Teknolojilerinin Kentsel Eşitsizlik Üzerindeki Etkileri']","['2015', '2018']",suna_tas.md,1996,2000,2003,2007,2007,2011,2011,2013,None,,['2013,"2016', '2016-2019', '2019-devam ediyor']"
Taner Öztürk,Kayseri,15.07.1986,39,Ahi Evran İlkokulu,1993-2000,Kayseri Lisesi,2000-2004,Hacettepe Üniversitesi,2004-2008,Arkeoloji,Boğaziçi Üniversitesi,2008-2010,,None,"['T.C. Kültür ve Turizm Bakanlığı, Kültür Varlıkları ve Müzeler Genel Müdürlüğü', 'Sadberk Hanım Müzesi', 'Anadolu Mirası Araştırma ve Koruma Derneği', 'Serbest kültürel miras danışmanlığı']","['2010-2014', '2014-2019', '2019-devam ediyor', '2019-devam ediyor']",['Anadolu Mirası Araştırma ve Koruma Derneği'],['2019'],İstanbul,"['amatör fotoğrafçılık', 'doğa yürüyüşleri', 'eski harita ve kartpostal koleksiyonculuğu']",Ayşe Öztürk,"['Elif Öztürk', 'Can Öztürk']","['Kayseri ve Çevresindeki Roma Dönemi Yerleşimleri Üzerine Bir İnceleme', ""Osmanlı Dönemi Vakıf Envanterlerinde Anadolu'daki Antik Kalıntılar"", 'Müzecilikte Yeni Yaklaşımlar: Dijital Koruma ve Erişim']","['2011', '2013', '2017']",taner_ozturk.md,1993,2000,2000,2004,2004,2008,2008,2010,None,,['2010,"2014', '2014-2019', '2019-devam ediyor', '2019-devam ediyor']"
Tarık Aktaş,Ankara,15.07.1987,38,Bahçelievler Deneme İlkokulu,1993-2001,Ankara Fen Lisesi,2002-2006,Orta Doğu Teknik Üniversitesi,2006-2010,Bilgisayar Mühendisliği,ODTÜ Bilgisayar Mühendisliği,2010-2012,Bilkent Üniversitesi Bilgisayar Mühendisliği Bölümü,2014-2018,"['ASELSAN', 'Hacettepe Üniversitesi']","['2010-2014', '2018-devam ediyor']",['Yapay Zeka ve Gelecek'],[],Ankara,"['doğa yürüyüşleri', 'kuş gözlemciliği', 'tarihi yerleri keşfetmek', 'bilgisayar oyunları', 'strateji oyunları', 'eski fotoğraf makineleri koleksiyonu yapmak', 'analog fotoğrafçılık']",Elif Demir,"['Aslı', 'Can']","['Gerçek Zamanlı Trafik Verileri Üzerine Derin Öğrenme Tabanlı Tahmin Modelleri', 'Otonom Sistemlerde Görüntü Tanıma İçin Yeni Nesil Evrişimli Ağlar', 'Açıklanabilir Yapay Zeka (XAI) için Yöntemler ve Uygulamaları', 'Büyük Ölçekli Metin Verilerinde Duygu Analizi İçin Hibrid Yaklaşımlar']","['2012', '2015', '2019', '2022']",tarik_aktas.md,1993,2001,2002,2006,2006,2010,2010,2012,2014,2018,['2010,"2014', '2018-devam ediyor']"
Tarık Uçar,Eskişehir,17.06.1985,40,Eskişehir Dumlupınar İlkokulu,1991-1996,Eskişehir Fatih Anadolu Lisesi,1997-2004,Boğaziçi Üniversitesi,2008-2012,Siyaset Bilimi ve Uluslararası İlişkiler Bölümü,İstanbul Bilgi Üniversitesi,2013-2015,,None,"['NTV Haber Merkezi', 'Atlas Film Yapım', 'TRT Belgesel', 'Serbest Belgesel Yapımcısı / Danışman']","['2012-2012', '2015-2018', '2018-2022', '2022-devam ediyor']",[],[],İstanbul,"['doğa yürüyüşleri yapmak', 'analog fotoğrafçılıkla uğraşmak', 'dünya mutfaklarını keşfetmek', 'eski Türk filmleri koleksiyonunu genişletmek']",Defne Yılmaz,"['Efe', 'Elif']","['Sivil Toplum Kuruluşları İçin Belgesel Sinemanın İletişim Gücü', 'Toplumsal Belleğin İnşasında Belgesellerin Rolü: Bir Vaka Analizi']","['2016', '2020']",tarik_ucar.md,1991,1996,1997,2004,2008,2012,2013,2015,None,,['2012,"2012', '2015-2018', '2018-2022', '2022-devam ediyor']"
